column_name,process,mean,st_dev,min,max
event_id,ignore,nan,nan,nan,nan
event_start_date,ignore,nan,nan,nan,nan
sex,categorical,nan,nan,nan,nan
age_category,ignore,nan,nan,nan,nan
age_in_days,ignore,nan,nan,nan,nan
gestation_at_delivery_in_days,ignore,nan,nan,nan,nan
case_id,ignore,nan,nan,nan,nan
season,categorical,nan,nan,nan,nan
body_weight,numeric,0.23289127100661344,0.3073885527407448,0.0001618103504657796,7.966440164941807
head_circumference,numeric,0.05878692150665726,0.06149471532221301,4.865771228291292e-05,0.6847978698101421
crown_rump_length,numeric,0.08126900075949318,0.07766196007902797,1.4087760800345516e-05,0.8750962947580863
body_length,numeric,0.079687724361339,0.0911428571006659,0.0001346902105345377,1.9262976091033073
foot_length,numeric,0.08840178516448369,0.0792298678322541,0.00013731472070870404,0.8238353809099027
neglect_ynid,categorical,nan,nan,nan,nan
nutrition_nutn_id,categorical,nan,nan,nan,nan
dysmorphic_features_ynid,categorical,nan,nan,nan,nan
jaundice_ynid,categorical,nan,nan,nan,nan
oedema_ynid,categorical,nan,nan,nan,nan
pallor_ynid,categorical,nan,nan,nan,nan
blood_at_mouth_bmid,categorical,nan,nan,nan,nan
signs_of_trauma_ynid,categorical,nan,nan,nan,nan
signs_of_treatment_ynid,categorical,nan,nan,nan,nan
cod2_summ,ignore,nan,nan,nan,nan
include_in_study,ignore,nan,nan,nan,nan
