column_name,observations,intercept,coeficient
body_weight_M_NN,798,2975.747834999796,25.8570691759179
body_weight_M_IN,499,4896.552860312326,12.780609507849038
body_weight_F_NN,581,2828.837047191709,20.818955192769298
body_weight_F_IN,375,4412.807543487383,12.934082603789932
head_circumference_M_NN,794,33.066140693550615,0.07514071143499147
head_circumference_M_IN,511,39.730541634241696,0.014446911522576043
head_circumference_F_NN,584,32.207211012132944,0.06717259684613217
head_circumference_F_IN,373,38.4290960361292,0.01436759321114848
crown_rump_length_M_NN,696,34.81281199205944,0.08487488748755025
crown_rump_length_M_IN,378,42.00289149679767,0.02260081136458595
crown_rump_length_F_NN,547,33.54024590066436,0.08485746889242064
crown_rump_length_F_IN,295,40.16059293920947,0.023022039185476167
body_length_M_NN,792,48.790678830219846,0.12283570718620995
body_length_M_IN,510,56.955680116376364,0.044738701026785524
body_length_F_NN,584,47.34527910136293,0.11312274116120459
body_length_F_IN,372,55.7754183231039,0.04299419782831671
foot_length_M_NN,504,7.501108841525176,0.010077872441518535
foot_length_M_IN,261,8.039202887330877,0.006764393173749301
foot_length_F_NN,409,7.232510197859075,0.009858248499858042
foot_length_F_IN,203,7.6908294658205705,0.006429037087989112
heart_weight_M_NN,789,20.848953974878114,0.18987653528489096
heart_weight_M_IN,507,29.679054331858463,0.08175609303511759
heart_weight_F_NN,574,19.09027145698354,0.12483192271678502
heart_weight_F_IN,375,30.078506176699165,0.06348231735247427
comb_lung_weight_M_NN,785,65.13765064930243,0.7916744774983605
comb_lung_weight_M_IN,509,114.08847903601118,0.23753062117615154
comb_lung_weight_F_NN,571,60.47503736104214,0.6757759572653523
comb_lung_weight_F_IN,375,104.59809487865186,0.19992151580062212
liver_weight_M_NN,769,128.242805927254,0.9690673096595411
liver_weight_M_IN,503,203.0940384702899,0.4367919234989043
liver_weight_F_NN,569,126.09463377254022,0.75841239506267
liver_weight_F_IN,368,182.03157494277883,0.4172660404323808
pancreas_weight_M_NN,730,3.807991300880306,0.040075081336974266
pancreas_weight_M_IN,470,10.877085253439578,0.01823421352146553
pancreas_weight_F_NN,531,3.8108052564377277,0.03057008253260497
pancreas_weight_F_IN,341,4.744001191693501,0.028195376487194276
thymus_weight_M_NN,724,9.272508104426924,0.26523248288872436
thymus_weight_M_IN,469,36.053964791704495,-0.012213109528596068
thymus_weight_F_NN,516,8.160461279431946,0.2155453521182915
thymus_weight_F_IN,335,24.636671146785776,0.0031889690421183746
spleen_weight_M_NN,767,10.220424209422909,0.14010613307389752
spleen_weight_M_IN,502,23.329221673055198,0.054615219665208686
spleen_weight_F_NN,568,9.137557749936798,0.11271303576311778
spleen_weight_F_IN,367,17.19526077611154,0.05052637311843421
comb_adrenal_weight_M_NN,764,5.867703188147608,-0.02824776076497921
comb_adrenal_weight_M_IN,501,11.962226678665388,-0.012009432728345664
comb_adrenal_weight_F_NN,567,5.446772325901874,-0.024906777917925355
comb_adrenal_weight_F_IN,364,3.475436015741952,0.002738551393760397
thyroid_weight_M_NN,462,1.4316061499445363,0.0026672056132245425
thyroid_weight_M_IN,294,10.589131380932262,-0.01595426709795167
thyroid_weight_F_NN,340,1.455649346029243,0.0030022396674741375
thyroid_weight_F_IN,201,1.3698773736672658,0.002312034797721595
comb_kidney_weight_M_NN,766,33.019037603608055,0.1588895647197851
comb_kidney_weight_M_IN,503,51.080421177674516,0.06049966910007042
comb_kidney_weight_F_NN,570,27.7306442987535,0.13807488465185913
comb_kidney_weight_F_IN,369,37.38298250358582,0.0717666712191062
brain_weight_M_NN,691,365.08616447741696,3.216157460332629
brain_weight_M_IN,458,624.3448787199684,0.8957196993606665
brain_weight_F_NN,500,339.05507844576357,2.7430765751723087
brain_weight_F_IN,326,593.714809750076,0.7520456687173306
